PERIOD	SM0	SM1	SM2	SM3	SM4	SM5	L2	MC1	MC2	MC3
2.7639579878e-07	8.195381e+00	8.579272e+00	8.445611e+00	8.448734e+00	8.119457e+00	8.617441e+00	1.347177e-01	2.685063e-01	2.685063e-01	2.685063e-01
2.7639579878e-07	8.421448e+00	8.461640e+00	8.410556e+00	8.618279e+00	8.132254e+00	8.803138e+00	1.436657e-01	2.645807e-01	2.645807e-01	2.645807e-01
2.7639579878e-07	8.358086e+00	8.582902e+00	8.328303e+00	8.014360e+00	8.013055e+00	8.109002e+00	1.516195e-01	2.724318e-01	2.724318e-01	2.724318e-01
2.7639579878e-07	8.395770e+00	8.108001e+00	8.440414e+00	8.335266e+00	8.409537e+00	8.480750e+00	1.411801e-01	3.203232e-01	3.203232e-01	3.203232e-01
2.7639579878e-07	8.803056e+00	8.229883e+00	8.511039e+00	8.787493e+00	8.626916e+00	8.805501e+00	1.145846e-01	2.418126e-01	2.418126e-01	2.418126e-01
2.7639579878e-07	8.168117e+00	8.890235e+00	8.891704e+00	8.196396e+00	8.158266e+00	8.341145e+00	1.585791e-01	2.645807e-01	2.645807e-01	2.645807e-01
2.7639579878e-07	8.423047e+00	8.631113e+00	8.431257e+00	8.477412e+00	8.573592e+00	8.647511e+00	1.389431e-01	2.661509e-01	2.661509e-01	2.661509e-01
2.7639579878e-07	8.148927e+00	8.185075e+00	8.419267e+00	7.860323e+00	8.653051e+00	7.823569e+00	1.374518e-01	2.794977e-01	2.794977e-01	2.794977e-01
2.7639579878e-07	8.517017e+00	8.576542e+00	8.764955e+00	7.796834e+00	7.937601e+00	8.250135e+00	1.414287e-01	2.881339e-01	2.881339e-01	2.881339e-01
2.7639579878e-07	8.722596e+00	8.503739e+00	8.588936e+00	8.822077e+00	8.180723e+00	8.123550e+00	1.357119e-01	2.653658e-01	2.653658e-01	2.653658e-01
2.7639579878e-07	7.733565e+00	8.626950e+00	8.287076e+00	7.866187e+00	8.485602e+00	8.454913e+00	1.168216e-01	2.575148e-01	2.575148e-01	2.575148e-01
2.7639579878e-07	8.489637e+00	7.955780e+00	8.445490e+00	8.423307e+00	8.467980e+00	8.643477e+00	1.503767e-01	2.606552e-01	2.606552e-01	2.606552e-01
2.7639579878e-07	8.307974e+00	8.536357e+00	8.043018e+00	7.972862e+00	8.218967e+00	8.268595e+00	1.461513e-01	2.912743e-01	2.912743e-01	2.912743e-01
2.7639579878e-07	8.545223e+00	8.085413e+00	8.380287e+00	8.500461e+00	8.264545e+00	8.411766e+00	1.304922e-01	3.368105e-01	3.368105e-01	3.368105e-01
2.7639579878e-07	8.590618e+00	8.180358e+00	8.476778e+00	8.864754e+00	8.411656e+00	8.301133e+00	1.334749e-01	2.080531e-01	2.080531e-01	2.080531e-01
2.7639579878e-07	8.338037e+00	8.470490e+00	8.334583e+00	8.389362e+00	8.268429e+00	8.577562e+00	1.411801e-01	2.622254e-01	2.622254e-01	2.622254e-01
2.7639579878e-07	8.554614e+00	8.160166e+00	7.808606e+00	7.846362e+00	8.335780e+00	8.207741e+00	1.461513e-01	2.936296e-01	2.936296e-01	2.936296e-01
2.7639579878e-07	7.886225e+00	8.525679e+00	8.503211e+00	8.214552e+00	8.427803e+00	8.826834e+00	1.406830e-01	2.959850e-01	2.959850e-01	2.959850e-01
2.7639579878e-07	8.606712e+00	8.657198e+00	8.703653e+00	8.898228e+00	8.097266e+00	8.680465e+00	1.391917e-01	2.708616e-01	2.708616e-01	2.708616e-01
2.7639579878e-07	8.377767e+00	8.358558e+00	8.180198e+00	8.630693e+00	8.456777e+00	8.268695e+00	1.329778e-01	2.268956e-01	2.268956e-01	2.268956e-01
2.7639579878e-07	8.567183e+00	8.284915e+00	8.379436e+00	8.159461e+00	8.336498e+00	8.574441e+00	1.501282e-01	2.488786e-01	2.488786e-01	2.488786e-01
2.7639579878e-07	8.791935e+00	8.252939e+00	8.332377e+00	8.326302e+00	8.726359e+00	8.024260e+00	1.359605e-01	3.022658e-01	3.022658e-01	3.022658e-01
2.7639579878e-07	7.986611e+00	7.999446e+00	8.533035e+00	8.624999e+00	8.298386e+00	8.461465e+00	1.503767e-01	2.936296e-01	2.936296e-01	2.936296e-01
2.7639579878e-07	8.088622e+00	8.815740e+00	8.407204e+00	8.476537e+00	8.341939e+00	8.082900e+00	1.294980e-01	2.716467e-01	2.716467e-01	2.716467e-01
2.7639579878e-07	8.166111e+00	8.587239e+00	8.389469e+00	8.849564e+00	8.166579e+00	8.180526e+00	1.329778e-01	2.488786e-01	2.488786e-01	2.488786e-01
2.7639579878e-07	8.410316e+00	8.354481e+00	8.589357e+00	8.298140e+00	8.225628e+00	8.372210e+00	1.364576e-01	3.006956e-01	3.006956e-01	3.006956e-01
2.7639579878e-07	8.042717e+00	8.009441e+00	8.189860e+00	8.441241e+00	8.818082e+00	8.595020e+00	1.426715e-01	2.504488e-01	2.504488e-01	2.504488e-01
2.7639579878e-07	8.015520e+00	8.807414e+00	8.382976e+00	8.670807e+00	8.272125e+00	8.864085e+00	1.379489e-01	2.897041e-01	2.897041e-01	2.897041e-01
